name,category,tent,locationIds,booths
"Natural Stitch Designs, Amaranth",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Northern Flyer Design (Ken Thornburn), Tara",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Paisley Drive Designs, Chesley",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Rachel Joy Jewellery, Kincardine",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Susan Seitz, Walkerton",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"Wildflower Designs, Shallow Lake",indoor,artisan,2B-33-38,2B-33|2B-34|2B-35|2B-36|2B-37|2B-38
"The Quilt Jeannie, Harriston",indoor,quilt,3A-39-44,3A-39|3A-40|3A-41|3A-42|3A-43|3A-44
"Bear Tracks Inn & Restaurant, Lion’s Head",food,,4A-36,4A-36
"Big Bites, Durham",food,,2A-10,2A-10
"Cheesy Monkii Food Truck, Kincardine",food,,3A-04,3A-04
"Style Catering, Stratford",food,,5A-23-24,5A-23|5A-24
"Coastal Coffee, Goderich",food,,2A-11,2A-11
Dairy Farmers of Ontario,food,,3A-13,3A-13
"DC Foods, Tillsonburg",food,,1B-38|4B-12,1B-38|4B-12
Cream Inc. Etobicoke,food,,4A-37,4A-37
"Hometown Street Eats, Drayton",food,,2B-25,2B-25
"Jeff’s Catering, Uxbridge",food,,4A-38,4A-38
"Lez Eats, Creemore",food,,1B-37,1B-37
Mannheim,food,,3B-13-14,3B-13|3B-14
"Mr. Kettle Corn, Campbellville",food,,5A-11,5A-11
"We Cater Food on Wheels, York",food,,4B-11,4B-11
West Montrose,food,,2A-12,2A-12
"Wild Willies Food Truck, Bayfield",food,,2B-26,2B-26
"2 Farmers & a Cow Ice Cream Co., Guelph",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Action First Aid, Barrie",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"All Star Metals Inc., Newton",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"CIBC, Walkerton",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Dill Doughs, Kincardine",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Eastlink, Sudbury",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Express Heat Therapy, Scarborough",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Galaxy Sweets, Hanover",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"HearingLife Canada, North York",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"It’s About You by Christine Lennips, Hanover",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
Joe Carter - Group Benefits Specialist,indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
Wingham,indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Norwex, Wyoming",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Oasis Therapy, Moffat",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Playtime Casino Hanover, Hanover",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
Royal Bank of Canada (“RBC”),indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"SV Law, Guelph",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Titanium Gourmet Inc., Scarborough",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"TreeGirl Henna, Teeswater",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"Uber Canada, Toronto",indoor,commercial,4A-05-10,4A-05|4A-06|4A-07|4A-08|4A-09|4A-10
"AgScape, Milton",indoor,hydro-edu,SOUTH-4,SOUTH-4
Beef Farmers of Ontario & Bruce County Beef Farmers,indoor,hydro-edu,SOUTH-4,SOUTH-4
"Bluewater District School Board, Chesley",indoor,hydro-edu,SOUTH-4,SOUTH-4
Bruce County Federation of Agriculture,indoor,hydro-edu,SOUTH-4,SOUTH-4
Bruce Grey Catholic District,indoor,hydro-edu,SOUTH-4,SOUTH-4
"School Board, Hanover",indoor,hydro-edu,SOUTH-4,SOUTH-4
Dairy Farmers of Ontario,indoor,hydro-edu,SOUTH-4,SOUTH-4
DGFO - Dairy Goat Farmers of Ontario,indoor,hydro-edu,SOUTH-4,SOUTH-4
Egg Farmers of Ontario,indoor,hydro-edu,SOUTH-4,SOUTH-4
"ETFO Bluewater Local, Owen Sound",indoor,hydro-edu,SOUTH-4,SOUTH-4
"FIRST Robotics Canada, Pickering",indoor,hydro-edu,SOUTH-4,SOUTH-4
GFO - Good in Every Grain,indoor,hydro-edu,SOUTH-4,SOUTH-4
"Gregglea Clydesdales, Cargill",indoor,hydro-edu,SOUTH-4,SOUTH-4
"Grey Bruce Pork Producers, Chesley",indoor,hydro-edu,SOUTH-4,SOUTH-4
"Ontario Association of Agriculture Societies, Stirling",indoor,hydro-edu,SOUTH-4,SOUTH-4
